generic_name,reaction,report_count,pct_serious,pct_hospitalization,pct_death,median_age,pct_female
albiglutide,Device use error,2699,0.0189,0.0052,0.0,58.0,0.5873
albiglutide,Accidental exposure to product,840,0.0202,0.006,0.0,58.0,0.5274
albiglutide,Drug dose omission,662,0.0468,0.0211,0.0,59.0,0.6073
albiglutide,Device leakage,620,0.021,0.0048,0.0,58.0,0.5387
albiglutide,Product quality issue,483,0.0248,0.0104,0.0,60.0,0.5507
albiglutide,Product preparation error,382,0.0366,0.0079,0.0,59.0,0.5759
albiglutide,Underdose,360,0.025,0.0056,0.0,58.0,0.5667
albiglutide,Nausea,333,0.1111,0.036,0.003,58.0,0.6607
albiglutide,Blood glucose increased,217,0.106,0.0369,0.0,62.0,0.5438
albiglutide,Diarrhoea,181,0.1326,0.0276,0.0,61.0,0.5414
albiglutide,Weight decreased,177,0.1017,0.0226,0.0,58.0,0.6102
albiglutide,Exposure via direct contact,151,0.0199,0.0066,0.0,54.0,0.5033
albiglutide,Wrong technique in product usage process,144,0.0556,0.0278,0.0,60.0,0.5139
albiglutide,Drug ineffective,139,0.1151,0.0288,0.0,60.0,0.482
albiglutide,Vomiting,132,0.2045,0.0833,0.0076,57.0,0.6136
albiglutide,Off label use,126,0.0238,0.0079,0.0,54.0,0.5952
albiglutide,Injection site erythema,117,0.0427,0.0085,0.0,54.5,0.735
albiglutide,Device difficult to use,97,0.0412,0.0,0.0,57.0,0.6082
albiglutide,Decreased appetite,92,0.1304,0.0217,0.0,62.0,0.6196
albiglutide,Injection site pruritus,91,0.044,0.0,0.0,51.0,0.8571
albiglutide,Malaise,91,0.1758,0.0659,0.0,59.0,0.6813
albiglutide,Injection site rash,86,0.0349,0.0,0.0,52.0,0.7442
albiglutide,Injection site reaction,85,0.0471,0.0,0.0,56.0,0.7882
albiglutide,Abdominal pain upper,78,0.1538,0.0513,0.0,59.5,0.641
albiglutide,Injection site pain,75,0.0533,0.0,0.0,55.0,0.7067
albiglutide,Back pain,72,0.2083,0.0139,0.0,57.0,0.5139
albiglutide,Headache,72,0.1389,0.0694,0.0,54.0,0.7639
albiglutide,Blood glucose decreased,68,0.0735,0.0,0.0,60.0,0.6618
albiglutide,Incorrect dose administered,64,0.0312,0.0,0.0,57.0,0.6562
albiglutide,Drug administration error,61,0.0328,0.0164,0.0,55.0,0.4754
albiglutide,Dizziness,59,0.1356,0.0339,0.0,57.0,0.5932
albiglutide,Pruritus,59,0.1186,0.0,0.0,58.5,0.7797
albiglutide,Medication error,57,0.0175,0.0,0.0,57.0,0.5789
albiglutide,Rash,57,0.1228,0.0526,0.0,56.0,0.5965
albiglutide,Incorrect product storage,55,0.0909,0.0182,0.0,59.0,0.5636
albiglutide,Fatigue,54,0.037,0.0185,0.0,63.0,0.6111
albiglutide,Intentional device misuse,49,0.0,0.0,0.0,62.0,0.6531
albiglutide,Therapeutic response unexpected,48,0.0833,0.0,0.0,60.0,0.5625
albiglutide,Glycosylated haemoglobin increased,47,0.1489,0.0426,0.0,61.0,0.5106
albiglutide,Abdominal pain,46,0.4783,0.1304,0.0217,59.0,0.587
albiglutide,Injection site swelling,46,0.0652,0.0217,0.0,53.0,0.7174
albiglutide,Pancreatitis,46,1.0,0.3261,0.0217,55.0,0.4348
albiglutide,Abdominal discomfort,45,0.1333,0.0667,0.0,60.0,0.6
albiglutide,Cough,45,0.1111,0.0,0.0,64.0,0.6222
albiglutide,Pain,45,0.1778,0.0,0.0,58.0,0.6222
albiglutide,Constipation,44,0.0455,0.0,0.0,59.0,0.5682
albiglutide,Abdominal distension,40,0.025,0.0,0.0,60.0,0.425
albiglutide,Product use issue,38,0.0263,0.0263,0.0,51.0,0.6842
albiglutide,Feeling abnormal,37,0.1351,0.027,0.0,62.0,0.7568
albiglutide,Injection site bruising,37,0.0811,0.027,0.0,60.0,0.6486
albiglutide,Injection site haemorrhage,37,0.0541,0.0,0.0,51.5,0.5946
albiglutide,Asthenia,35,0.1714,0.0857,0.0,58.5,0.7143
albiglutide,Device breakage,34,0.0588,0.0294,0.0,60.0,0.7941
albiglutide,Accidental underdose,32,0.0,0.0,0.0,62.5,0.5
albiglutide,Influenza like illness,32,0.1875,0.0625,0.0,59.5,0.6875
albiglutide,Nasopharyngitis,32,0.0312,0.0,0.0,57.0,0.625
albiglutide,Device failure,31,0.0323,0.0,0.0,59.5,0.4516
albiglutide,Eructation,31,0.0323,0.0323,0.0,54.0,0.5484
albiglutide,Hypersensitivity,30,0.1,0.0,0.0,58.0,0.6333
albiglutide,Dyspepsia,29,0.1724,0.069,0.0345,61.0,0.5862
albiglutide,Blood glucose abnormal,28,0.1429,0.0357,0.0,61.0,0.6071
albiglutide,Circumstance or information capable of leading to medication error,28,0.0,0.0,0.0,64.0,0.6429
albiglutide,Device issue,28,0.0,0.0,0.0,61.0,0.5714
albiglutide,Flatulence,28,0.1429,0.1071,0.0,54.5,0.5714
albiglutide,Dyspnoea,27,0.2222,0.1852,0.0,54.5,0.5556
albiglutide,Urticaria,26,0.1154,0.0385,0.0,55.0,0.7692
albiglutide,Rash pruritic,25,0.08,0.04,0.0,59.0,0.76
albiglutide,Arthralgia,24,0.1667,0.0,0.0,62.0,0.5833
albiglutide,Pain in extremity,24,0.0417,0.0,0.0,55.5,0.6667
albiglutide,Condition aggravated,23,0.3478,0.087,0.0,55.0,0.7826
albiglutide,Weight increased,23,0.087,0.0,0.0,61.5,0.6957
albiglutide,Erythema,22,0.0455,0.0455,0.0,55.0,0.6818
albiglutide,Inability to afford medication,22,0.0,0.0,0.0,63.5,0.5909
albiglutide,Inappropriate schedule of drug administration,22,0.0455,0.0455,0.0,62.5,0.6364
albiglutide,Injection site mass,22,0.0455,0.0,0.0,60.0,0.5455
albiglutide,Insomnia,22,0.0909,0.0,0.0,62.0,0.5455
albiglutide,Vision blurred,22,0.3182,0.0909,0.0,60.0,0.6818
albiglutide,Device malfunction,19,0.0,0.0,0.0,59.0,0.6316
albiglutide,Gastrooesophageal reflux disease,19,0.0526,0.0,0.0,64.0,0.7368
albiglutide,Influenza,19,0.0526,0.0,0.0,58.0,0.3684
albiglutide,Rash erythematous,19,0.0526,0.0,0.0,58.0,0.8947
albiglutide,Tremor,19,0.2105,0.0,0.0,56.0,0.6842
albiglutide,Hyperhidrosis,18,0.1667,0.0556,0.0,62.0,0.6111
albiglutide,Hypoglycaemia,18,0.2222,0.0556,0.0,54.0,0.8333
albiglutide,Injury associated with device,18,0.0,0.0,0.0,56.0,0.6111
albiglutide,Exposure via skin contact,17,0.0,0.0,0.0,62.0,0.5294
albiglutide,Confusional state,16,0.25,0.0625,0.0,62.0,0.8125
albiglutide,Drug dispensing error,16,0.0625,0.0,0.0,52.0,0.5625
albiglutide,Dysgeusia,16,0.0,0.0,0.0,62.5,0.8125
albiglutide,Oropharyngeal pain,16,0.0625,0.0,0.0,59.0,0.8125
albiglutide,Treatment noncompliance,16,0.0,0.0,0.0,57.0,0.4375
albiglutide,Blood glucose fluctuation,15,0.1333,0.0667,0.0,54.0,0.4
albiglutide,Dehydration,15,0.6,0.2,0.0,54.0,0.7333
albiglutide,Ill-defined disorder,15,0.6667,0.2,0.0,62.0,0.7333
albiglutide,Stress,15,0.2667,0.0,0.0,55.0,0.7333
albiglutide,Gastric disorder,14,0.1429,0.0,0.0,63.0,0.5714
albiglutide,Gastrointestinal disorder,14,0.2143,0.0,0.0,63.0,0.6429
albiglutide,Increased appetite,14,0.1429,0.0,0.0,58.0,0.7143
albiglutide,Injection site urticaria,14,0.0,0.0,0.0,50.5,0.9286
albiglutide,Memory impairment,14,0.2857,0.0714,0.0,60.5,0.5
albiglutide,Somnolence,14,0.0,0.0,0.0,65.0,0.6429
albiglutide,Visual acuity reduced,14,0.2143,0.0,0.0,61.0,0.5714
albiglutide,Chills,13,0.2308,0.0,0.0,60.0,0.6154
albiglutide,Injection site irritation,13,0.0,0.0,0.0,53.5,0.6923
albiglutide,Intentional product use issue,13,0.0769,0.0,0.0,78.0,0.4615
albiglutide,Palpitations,13,0.0769,0.0,0.0,59.0,0.7692
albiglutide,Peripheral swelling,13,0.5385,0.1538,0.0,59.0,0.7692
albiglutide,Pyrexia,13,0.0769,0.0769,0.0,58.0,0.6923
albiglutide,Sinusitis,13,0.2308,0.0769,0.0,61.0,0.8462
albiglutide,Chest pain,12,0.4167,0.3333,0.0,56.5,0.25
albiglutide,Diabetes mellitus inadequate control,12,1.0,0.0,0.0,57.0,0.75
albiglutide,Gait disturbance,12,0.25,0.0,0.0,51.0,0.6667
albiglutide,Overdose,12,0.0833,0.0833,0.0,59.0,0.5
albiglutide,Paraesthesia,12,0.25,0.1667,0.0,54.0,0.6667
albiglutide,Rhinorrhoea,12,0.0,0.0,0.0,64.5,0.75
albiglutide,Urinary tract infection,12,0.5,0.1667,0.0833,62.0,1.0
albiglutide,Wrong technique in drug usage process,12,0.0,0.0,0.0,58.5,0.5833
albiglutide,Contusion,11,0.2727,0.0,0.0,55.0,0.7273
albiglutide,Hypoaesthesia,11,0.2727,0.2727,0.0,49.0,0.6364
albiglutide,Injection site discolouration,11,0.0,0.0,0.0,64.0,0.6364
albiglutide,Injection site nodule,11,0.0909,0.0,0.0,55.0,0.5455
albiglutide,Intentional product misuse,11,0.0,0.0,0.0,56.0,0.5455
albiglutide,Labelled drug-disease interaction medication error,11,0.1818,0.0,0.0,67.0,0.7273
albiglutide,Pancreatitis acute,11,1.0,0.8182,0.0,58.0,0.4545
albiglutide,Surgery,11,0.5455,0.1818,0.0,61.5,0.6364
albiglutide,Adverse drug reaction,10,0.2,0.1,0.0,65.0,0.6
albiglutide,Device misuse,10,0.1,0.0,0.0,65.0,0.2
albiglutide,Discomfort,10,0.1,0.0,0.0,70.0,0.4
albiglutide,Drug prescribing error,10,0.0,0.0,0.0,56.5,0.8
albiglutide,Dysphonia,10,0.0,0.0,0.0,68.0,0.7
albiglutide,Hypertension,10,0.2,0.1,0.0,59.5,0.3
albiglutide,Local swelling,10,0.2,0.0,0.0,57.0,0.9
albiglutide,Migraine,10,0.1,0.1,0.0,59.0,0.7
albiglutide,Muscle spasms,10,0.1,0.1,0.0,67.0,0.5
albiglutide,Acute kidney injury,9,1.0,0.8889,0.0,60.0,0.5556
albiglutide,Anxiety,9,0.0,0.0,0.0,59.0,0.6667
albiglutide,Fall,9,0.6667,0.4444,0.0,59.0,0.7778
albiglutide,Gastroenteritis viral,9,0.1111,0.1111,0.0,62.0,0.6667
albiglutide,Injection site warmth,9,0.1111,0.0,0.0,54.0,0.7778
albiglutide,Nasal congestion,9,0.0,0.0,0.0,57.5,0.5556
albiglutide,Needle issue,9,0.0,0.0,0.0,56.0,0.6667
albiglutide,Rash generalised,9,0.1111,0.1111,0.0,53.0,0.6667
albiglutide,Rash papular,9,0.0,0.0,0.0,58.0,0.8889
albiglutide,Visual impairment,9,0.5556,0.0,0.0,65.0,0.7778
albiglutide,Amnesia,8,0.375,0.25,0.0,56.0,0.625
albiglutide,Burning sensation,8,0.125,0.0,0.0,43.0,0.625
albiglutide,Dysphagia,8,0.125,0.0,0.0,55.0,0.75
albiglutide,Emergency care,8,0.25,0.125,0.0,63.0,0.5
albiglutide,Injection site extravasation,8,0.0,0.0,0.0,55.0,0.5
albiglutide,Lipase increased,8,0.625,0.125,0.125,55.0,0.5
albiglutide,Muscular weakness,8,0.25,0.125,0.0,56.0,0.625
albiglutide,Myalgia,8,0.375,0.125,0.0,60.0,0.5
albiglutide,Renal impairment,8,1.0,0.25,0.0,61.0,0.5
albiglutide,Upper respiratory tract infection,8,0.25,0.125,0.0,68.5,0.875
albiglutide,Adverse event,7,0.4286,0.1429,0.1429,51.5,0.5714
albiglutide,Dry mouth,7,0.2857,0.0,0.0,64.5,0.8571
albiglutide,Dysuria,7,0.0,0.0,0.0,62.0,0.4286
albiglutide,Emergency care examination,7,0.2857,0.0,0.0,51.0,0.5714
albiglutide,Feeling hot,7,0.1429,0.1429,0.0,58.0,0.5714
albiglutide,Hunger,7,0.0,0.0,0.0,76.0,0.8571
albiglutide,Hyperglycaemia,7,0.4286,0.2857,0.0,57.0,0.5714
albiglutide,Intentional underdose,7,0.1429,0.0,0.0,63.0,0.7143
albiglutide,Pharyngeal oedema,7,0.1429,0.0,0.0,64.0,0.5714
albiglutide,Pneumonia,7,1.0,0.2857,0.0,54.0,0.4286
