drug_query,nct_id,brief_title,overall_status,start_date,completion_date,phase,study_type,enrollment,conditions,lead_sponsor
semaglutide,NCT05144984,A Research Study Looking at How Well a Combination of the Medicines Semaglutide and NNC0480-0389 Works in People With Type 2 Diabetes,COMPLETED,2021-11-29,2023-03-23,PHASE2,INTERVENTIONAL,500,"Diabetes Mellitus, Type 2",Novo Nordisk A/S
semaglutide,NCT04538352,Transition From Basal/Bolus to Once-weekly Subcutaneous Semaglutide and Basal Insulin in Patients With T2D,COMPLETED,2021-01-18,2023-11-01,PHASE4,INTERVENTIONAL,60,Type 2 Diabetes,The Cleveland Clinic
semaglutide,NCT05521256,A Research Study of a New Medicine NNC0113-6856 in Healthy Males,COMPLETED,2022-08-26,2023-03-27,PHASE1,INTERVENTIONAL,70,Healthy Volunteers; Type 2 Diabetes,Novo Nordisk A/S
semaglutide,NCT06738979,A Clinical Study Comparing Semaglutide Injection and Wegovy® for Weight Management in Obese Subjects,NOT_YET_RECRUITING,,,PHASE3,INTERVENTIONAL,408,Obesity,"Chia Tai Tianqing Pharmaceutical Group Co., Ltd."
semaglutide,NCT06648031,"Comparison of the Safety, Efficacy and Pharmacokinetics of DehydraTECH -CBD and DehydraTECH-GLP1 Agonists Alone or in Combination, in Overweight or Obese, Pre- and Type 2 Diabetic Participants",COMPLETED,2024-12-04,2025-07-31,PHASE1,INTERVENTIONAL,148,Type2diabetes,Lexaria Bioscience Corp.
semaglutide,NCT07073053,The Role of Glucagon-Like Peptide-1 Receptor Agonists in Coronary Artery Diseases and Their Potential Mechanisms,NOT_YET_RECRUITING,2025-10-01,2028-07-31,PHASE4,INTERVENTIONAL,60,Glucagon-Like Peptide-1 Receptor Agonists; Type 2 Diabetes; Coronary Arterial Disease (CAD),"Taipei Veterans General Hospital, Taiwan"
semaglutide,NCT04216589,"Study of Semaglutide for Non-Alcoholic Fatty Liver Disease (NAFLD), a Metabolic Syndrome With Insulin Resistance, Increased Hepatic Lipids, and Increased Cardiovascular Disease Risk (The SLIM LIVER Study)",COMPLETED,2021-02-19,2023-09-15,PHASE2,INTERVENTIONAL,51,HIV Infections; Non-Alcoholic Fatty Liver Disease,National Institute of Allergy and Infectious Diseases (NIAID)
semaglutide,NCT07272343,The Impact of Semaglutide Compared to Energy Restriction on Type 2 Diabetes,RECRUITING,2023-02-10,2026-07-01,PHASE4,INTERVENTIONAL,100,Type 2 Diabetes Mellitus (T2DM); Semaglutide; Caloric Restriction,Second Affiliated Hospital of Nanchang University
semaglutide,NCT06400615,Study That Tests AD109 in Patients Taking GLP-1 Drugs,COMPLETED,2024-05-20,2024-12-26,PHASE2,INTERVENTIONAL,40,OSA,Apnimed
semaglutide,NCT03144271,"Dose Escalation Trial of Single Subcutaneous Doses of NNC 0113-0217 to Assess Safety, Tolerability, Pharmacokinetics and Pharmacodynamics in Healthy Male Subjects",COMPLETED,2007-06-11,2007-10-08,PHASE1,INTERVENTIONAL,58,"Diabetes; Diabetes Mellitus, Type 2; Healthy",Novo Nordisk A/S
semaglutide,NCT06884293,A Study Comparing IBI362 vs Semaglutide in Chinese Overweight or Obese Adults With Metabolic Dysfunction-associated Fatty Liver Disease （MAFLD）,RECRUITING,2025-05-09,2027-06-30,PHASE3,INTERVENTIONAL,470,Overweight; Metabolic Dysfunction-associated Fatty Liver Disease (MAFLD),Innovent Biologics (Suzhou) Co. Ltd.
semaglutide,NCT07204249,Glutide for Ending Methamphetamine,NOT_YET_RECRUITING,2026-01-15,2030-02-15,PHASE2,INTERVENTIONAL,162,Methamphetamine-dependence,San Francisco Department of Public Health
semaglutide,NCT06659744,Emulation of the SUSTAIN6 Diabetes Trial Using Healthcare Claims,COMPLETED,2024-10-24,2025-03-06,,OBSERVATIONAL,158310,"Diabetes Mellitus, Type 2",Brigham and Women's Hospital
semaglutide,NCT07030621,Efficacy of Semaglutide in Improving Neurological Outcomes After Endovascular Thrombectomy for Acute Ischemic Stroke: A Randomized Double-Blind Controlled Trial,NOT_YET_RECRUITING,2025-07-01,2028-01-31,PHASE3,INTERVENTIONAL,436,Acute Ischemic Stroke,RenJi Hospital
