date,geo,term,search_interest
2018-01-01,AE,GLP-1,0
2018-02-01,AE,GLP-1,0
2018-03-01,AE,GLP-1,0
2018-04-01,AE,GLP-1,0
2018-05-01,AE,GLP-1,0
2018-06-01,AE,GLP-1,2
2018-07-01,AE,GLP-1,0
2018-08-01,AE,GLP-1,0
2018-09-01,AE,GLP-1,0
2018-10-01,AE,GLP-1,0
2018-11-01,AE,GLP-1,0
2018-12-01,AE,GLP-1,0
2019-01-01,AE,GLP-1,0
2019-02-01,AE,GLP-1,0
2019-03-01,AE,GLP-1,0
2019-04-01,AE,GLP-1,0
2019-05-01,AE,GLP-1,0
2019-06-01,AE,GLP-1,0
2019-07-01,AE,GLP-1,0
2019-08-01,AE,GLP-1,0
2019-09-01,AE,GLP-1,0
2019-10-01,AE,GLP-1,0
2019-11-01,AE,GLP-1,0
2019-12-01,AE,GLP-1,0
2020-01-01,AE,GLP-1,0
2020-02-01,AE,GLP-1,0
2020-03-01,AE,GLP-1,2
2020-04-01,AE,GLP-1,0
2020-05-01,AE,GLP-1,0
2020-06-01,AE,GLP-1,2
2020-07-01,AE,GLP-1,0
2020-08-01,AE,GLP-1,0
2020-09-01,AE,GLP-1,0
2020-10-01,AE,GLP-1,0
2020-11-01,AE,GLP-1,0
2020-12-01,AE,GLP-1,0
2021-01-01,AE,GLP-1,0
2021-02-01,AE,GLP-1,0
2021-03-01,AE,GLP-1,0
2021-04-01,AE,GLP-1,0
2021-05-01,AE,GLP-1,0
2021-06-01,AE,GLP-1,0
2021-07-01,AE,GLP-1,0
2021-08-01,AE,GLP-1,0
2021-09-01,AE,GLP-1,0
2021-10-01,AE,GLP-1,2
2021-11-01,AE,GLP-1,0
2021-12-01,AE,GLP-1,0
2022-01-01,AE,GLP-1,0
2022-02-01,AE,GLP-1,0
2022-03-01,AE,GLP-1,0
2022-04-01,AE,GLP-1,1
2022-05-01,AE,GLP-1,0
2022-06-01,AE,GLP-1,0
2022-07-01,AE,GLP-1,0
2022-08-01,AE,GLP-1,0
2022-09-01,AE,GLP-1,0
2022-10-01,AE,GLP-1,0
2022-11-01,AE,GLP-1,0
2022-12-01,AE,GLP-1,0
2023-01-01,AE,GLP-1,0
2023-02-01,AE,GLP-1,2
2023-03-01,AE,GLP-1,0
2023-04-01,AE,GLP-1,0
2023-05-01,AE,GLP-1,0
2023-06-01,AE,GLP-1,1
2023-07-01,AE,GLP-1,0
2023-08-01,AE,GLP-1,0
2023-09-01,AE,GLP-1,2
2023-10-01,AE,GLP-1,1
2023-11-01,AE,GLP-1,0
2023-12-01,AE,GLP-1,2
2024-01-01,AE,GLP-1,1
2024-02-01,AE,GLP-1,2
2024-03-01,AE,GLP-1,2
2024-04-01,AE,GLP-1,2
2024-05-01,AE,GLP-1,3
2024-06-01,AE,GLP-1,3
2024-07-01,AE,GLP-1,2
2024-08-01,AE,GLP-1,3
2024-09-01,AE,GLP-1,3
2024-10-01,AE,GLP-1,3
2024-11-01,AE,GLP-1,2
2024-12-01,AE,GLP-1,3
2025-01-01,AE,GLP-1,2
2025-02-01,AE,GLP-1,2
2025-03-01,AE,GLP-1,2
2025-04-01,AE,GLP-1,5
2025-05-01,AE,GLP-1,3
2025-06-01,AE,GLP-1,3
2025-07-01,AE,GLP-1,4
2025-08-01,AE,GLP-1,6
2025-09-01,AE,GLP-1,5
2025-10-01,AE,GLP-1,5
2025-11-01,AE,GLP-1,25
2025-12-01,AE,GLP-1,26
2026-01-01,AE,GLP-1,22
2026-02-01,AE,GLP-1,16
2026-03-01,AE,GLP-1,21
2026-04-01,AE,GLP-1,15
2018-01-01,AE,Mounjaro,0
2018-02-01,AE,Mounjaro,0
2018-03-01,AE,Mounjaro,0
2018-04-01,AE,Mounjaro,0
2018-05-01,AE,Mounjaro,0
2018-06-01,AE,Mounjaro,0
2018-07-01,AE,Mounjaro,0
2018-08-01,AE,Mounjaro,0
2018-09-01,AE,Mounjaro,0
2018-10-01,AE,Mounjaro,0
2018-11-01,AE,Mounjaro,0
2018-12-01,AE,Mounjaro,0
2019-01-01,AE,Mounjaro,0
2019-02-01,AE,Mounjaro,0
2019-03-01,AE,Mounjaro,0
2019-04-01,AE,Mounjaro,3
2019-05-01,AE,Mounjaro,0
2019-06-01,AE,Mounjaro,0
2019-07-01,AE,Mounjaro,0
2019-08-01,AE,Mounjaro,0
2019-09-01,AE,Mounjaro,0
2019-10-01,AE,Mounjaro,0
2019-11-01,AE,Mounjaro,0
2019-12-01,AE,Mounjaro,0
2020-01-01,AE,Mounjaro,0
2020-02-01,AE,Mounjaro,0
2020-03-01,AE,Mounjaro,0
2020-04-01,AE,Mounjaro,0
2020-05-01,AE,Mounjaro,0
2020-06-01,AE,Mounjaro,0
2020-07-01,AE,Mounjaro,0
2020-08-01,AE,Mounjaro,0
2020-09-01,AE,Mounjaro,0
2020-10-01,AE,Mounjaro,0
2020-11-01,AE,Mounjaro,0
2020-12-01,AE,Mounjaro,0
2021-01-01,AE,Mounjaro,0
2021-02-01,AE,Mounjaro,0
2021-03-01,AE,Mounjaro,0
2021-04-01,AE,Mounjaro,0
2021-05-01,AE,Mounjaro,0
2021-06-01,AE,Mounjaro,0
2021-07-01,AE,Mounjaro,0
2021-08-01,AE,Mounjaro,0
2021-09-01,AE,Mounjaro,0
2021-10-01,AE,Mounjaro,0
2021-11-01,AE,Mounjaro,0
2021-12-01,AE,Mounjaro,0
2022-01-01,AE,Mounjaro,0
2022-02-01,AE,Mounjaro,0
2022-03-01,AE,Mounjaro,0
2022-04-01,AE,Mounjaro,0
2022-05-01,AE,Mounjaro,1
2022-06-01,AE,Mounjaro,0
2022-07-01,AE,Mounjaro,0
2022-08-01,AE,Mounjaro,2
2022-09-01,AE,Mounjaro,5
2022-10-01,AE,Mounjaro,14
2022-11-01,AE,Mounjaro,14
2022-12-01,AE,Mounjaro,22
2023-01-01,AE,Mounjaro,34
2023-02-01,AE,Mounjaro,42
2023-03-01,AE,Mounjaro,47
2023-04-01,AE,Mounjaro,54
2023-05-01,AE,Mounjaro,67
2023-06-01,AE,Mounjaro,67
2023-07-01,AE,Mounjaro,64
2023-08-01,AE,Mounjaro,50
2023-09-01,AE,Mounjaro,49
2023-10-01,AE,Mounjaro,40
2023-11-01,AE,Mounjaro,48
2023-12-01,AE,Mounjaro,54
2024-01-01,AE,Mounjaro,66
2024-02-01,AE,Mounjaro,73
2024-03-01,AE,Mounjaro,58
2024-04-01,AE,Mounjaro,68
2024-05-01,AE,Mounjaro,85
2024-06-01,AE,Mounjaro,89
2024-07-01,AE,Mounjaro,90
2024-08-01,AE,Mounjaro,84
2024-09-01,AE,Mounjaro,88
2024-10-01,AE,Mounjaro,89
2024-11-01,AE,Mounjaro,93
2024-12-01,AE,Mounjaro,84
2025-01-01,AE,Mounjaro,93
2025-02-01,AE,Mounjaro,85
2025-03-01,AE,Mounjaro,81
2025-04-01,AE,Mounjaro,100
2025-05-01,AE,Mounjaro,92
2025-06-01,AE,Mounjaro,92
2025-07-01,AE,Mounjaro,88
2025-08-01,AE,Mounjaro,100
2025-09-01,AE,Mounjaro,79
2025-10-01,AE,Mounjaro,77
2025-11-01,AE,Mounjaro,91
2025-12-01,AE,Mounjaro,83
2026-01-01,AE,Mounjaro,87
2026-02-01,AE,Mounjaro,86
2026-03-01,AE,Mounjaro,78
2026-04-01,AE,Mounjaro,88
2018-01-01,AE,Ozempic,0
2018-02-01,AE,Ozempic,0
2018-03-01,AE,Ozempic,0
2018-04-01,AE,Ozempic,0
